team,total_match_count,not_enjoyable_matches,a_little_enjoyable_matches,enjoyable_matches,very_enjoyable_matches,not_enjoyable_percent,a_little_enjoyable_percent,enjoyable_percent,very_enjoyable_percent
"Blackpool FC ",38,2,8,20,8,5.26,21.05,52.63,21.05
"AFC Bournemouth ",180,10,59,87,24,5.56,32.78,48.33,13.33
"Arsenal FC ",749,47,281,297,124,6.28,37.52,39.65,16.56
"Manchester City FC ",711,50,269,269,123,7.03,37.83,37.83,17.30
"Leeds United FC ",152,12,58,57,25,7.89,38.16,37.50,16.45
"Ipswich Town FC ",76,4,31,31,10,5.26,40.79,40.79,13.16
"Liverpool FC ",750,61,287,301,101,8.13,38.27,40.13,13.47
"Reading FC ",114,10,43,43,18,8.77,37.72,37.72,15.79
"Queens Park Rangers FC ",114,9,44,41,20,7.89,38.60,35.96,17.54
"Tottenham Hotspur FC ",749,50,301,290,108,6.68,40.19,38.72,14.42
"Manchester United FC ",749,45,308,291,105,6.01,41.12,38.85,14.02
"Cardiff City FC ",76,8,28,26,14,10.53,36.84,34.21,18.42
"Leicester City FC ",332,28,130,129,45,8.43,39.16,38.86,13.55
"Chelsea FC ",750,56,303,283,108,7.47,40.40,37.73,14.40
"Newcastle United FC ",674,49,274,274,77,7.27,40.65,40.65,11.42
"West Ham United FC ",636,44,263,248,81,6.92,41.35,38.99,12.74
"Watford FC ",218,21,85,83,29,9.63,38.99,38.07,13.30
"Norwich City FC ",218,18,89,73,38,8.26,40.83,33.49,17.43
"Wolverhampton Wanderers FC ",217,15,92,79,31,6.91,42.40,36.41,14.29
"Blackburn Rovers FC ",418,37,171,155,55,8.85,40.91,37.08,13.16
"Coventry City FC ",38,3,16,15,4,7.89,42.11,39.47,10.53
"West Bromwich Albion FC ",456,35,195,179,47,7.68,42.76,39.25,10.31
"Burnley FC ",218,17,93,84,24,7.80,42.66,38.53,11.01
"Fulham FC ",532,52,218,195,67,9.77,40.98,36.65,12.59
"Wigan Athletic FC ",304,19,136,113,36,6.25,44.74,37.17,11.84
"Aston Villa FC ",635,66,260,230,79,10.39,40.94,36.22,12.44
"Bolton Wanderers FC ",418,30,185,148,55,7.18,44.26,35.41,13.16
"Swansea City AFC ",266,23,114,94,35,8.65,42.86,35.34,13.16
"Charlton Athletic FC ",266,27,111,95,33,10.15,41.73,35.71,12.41
"Hull City AFC ",190,15,85,65,25,7.89,44.74,34.21,13.16
"Derby County FC ",114,8,52,38,16,7.02,45.61,33.33,14.04
"Southampton FC ",484,45,210,167,62,9.30,43.39,34.50,12.81
"Everton FC ",749,58,341,267,83,7.74,45.53,35.65,11.08
"Portsmouth FC ",266,24,118,95,29,9.02,44.36,35.71,10.90
"Crystal Palace FC ",294,23,136,100,35,7.82,46.26,34.01,11.90
"Sunderland AFC ",532,48,244,185,55,9.02,45.86,34.77,10.34
"Bradford City AFC ",38,3,18,13,4,7.89,47.37,34.21,10.53
"Stoke City FC ",380,34,176,137,33,8.95,46.32,36.05,8.68
"Middlesbrough FC ",380,38,177,130,35,10.00,46.58,34.21,9.21
"Birmingham City FC ",266,24,128,92,22,9.02,48.12,34.59,8.27
"Brighton & Hove Albion FC ",104,8,53,34,9,7.69,50.96,32.69,8.65
"Huddersfield Town AFC ",76,7,38,22,9,9.21,50.00,28.95,11.84
"Sheffield United FC ",65,3,38,23,1,4.62,58.46,35.38,1.54
